"-- Please Select --","-- Please Select --"
"Add to Cart","Aan mandje toevoegen"
"Choose an Option...","Kies een Optie..."
"Configurable Swatches","Configureerbare voorbeelden"
"Enabled","Aan"
"General Settings","Algemene instellingen"
"Height","Hoogte"
"Height","Hoogte"
"Height","Hoogte"
"In Stock","In voorraad"
"Innermost dimensions, not including border, in pixels","Binnenmaten, zonder de rander, in pixels"
"Innermost dimensions, not including border, in pixels","Binnenmaten, zonder de rander, in pixels"
"Innermost dimensions, not including border, in pixels","Binnenmaten, zonder de rander, in pixels"
"Out of Stock","Niet voorradig"
"Previous","Vorige"
"Previous","Vorige"
"Product Attribute to Use for Swatches in Product Listing","Productkenmerk om te gebruiken voor voorbeelden in productenlijst"
"Product Attributes to Show as Swatches in Product Detail","Productkenmerken om als voorbeeld te tonen in productdetails"
"Remove This Item","Verwijder Dit Item"
"Remove This Item","Verwijder Dit Item"
"Swatch Dimensions in Layered Navigation","Afmetingen van voorbeelden in gelaagde navigatie"
"Swatch Dimensions in Product Listing","Afmetingen van voorbeelden in productenlijst"
"Swatch Dimensions on Product Detail Page","Afmetingen van voorbeelden product-detailspagina"
"Width","Breedte"
"Width","Breedte"
"Width","Breedte"
